Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:45,2018-04-16 16:08:47,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:47,2018-04-16 16:08:47,0.117s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:47,2018-04-16 16:08:49,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:49,2018-04-16 16:08:49,0.192s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:49,2018-04-16 16:08:54,5.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:54,2018-04-16 16:08:54,0.067s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:54,2018-04-16 16:08:55,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:55,2018-04-16 16:08:56,0.591s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:56,2018-04-16 16:08:58,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:58,2018-04-16 16:08:58,0.116s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:58,2018-04-16 16:09:01,3.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:09:01,2018-04-16 16:09:01,0.382s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:09:01,2018-04-16 16:09:06,5.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:09:06,2018-04-16 16:09:07,0.439s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:09:07,2018-04-16 16:09:09,2.000s,PASSED
,,,,,,
Test Cases/Logging Out,Chrome 65.0.3325.181,Logging out of the US Lead Gen Reporting Tool,2018-04-16 16:09:09,2018-04-16 16:09:10,1.611s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.000s,NOT_RUN
navigateToUrl,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.000s,NOT_RUN
maximizeWindow,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.000s,NOT_RUN
callTestCase,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.000s,NOT_RUN
comment,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:09,0.111s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:09:09,2018-04-16 16:09:10,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:09:10,2018-04-16 16:09:10,0.418s,PASSED
